Name                                                                                                                            Stmts   Miss  Cover
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/query.py                                                     1009    670    34%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/query_utils.py                                                183     99    46%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/signals.py                                                     25      8    68%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/sql/__init__.py                                                 5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/sql/compiler.py                                               812    484    40%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/sql/constants.py                                               10      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/sql/datastructures.py                                          77     26    66%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/sql/query.py                                                 1105    630    43%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/sql/subqueries.py                                             106     72    32%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/sql/where.py                                                  131     67    49%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/utils.py                                                       12      3    75%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/transaction.py                                                       116     62    47%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/utils.py                                                             180     56    69%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/dispatch/__init__.py                                                      1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/dispatch/dispatcher.py                                                  113     35    69%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/__init__.py                                                         7      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/boundfield.py                                                     137    100    27%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/fields.py                                                         708    479    32%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/forms.py                                                          241    173    28%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/formsets.py                                                       222    165    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/models.py                                                         695    517    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/renderers.py                                                       34     11    68%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/utils.py                                                           92     59    36%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/forms/widgets.py                                                        605    368    39%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/http/__init__.py                                                          4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/http/cookie.py                                                           13      9    31%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/http/multipartparser.py                                                 369    316    14%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/http/request.py                                                         312    231    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/http/response.py                                                        305    194    36%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/middleware/__init__.py                                                    0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/middleware/cache.py                                                      78     65    17%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/middleware/csrf.py                                                      149    109    27%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/__init__.py                                                     10      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/backends/__init__.py                                             0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/backends/base.py                                                29     13    55%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/backends/django.py                                              74     22    70%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/backends/jinja2.py                                              63     45    29%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/base.py                                                        540    429    21%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/context.py                                                     164    119    27%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/defaultfilters.py                                              438    313    29%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/defaulttags.py                                                 626    500    20%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/engine.py                                                      111     52    53%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/exceptions.py                                                   12      8    33%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/library.py                                                     175     97    45%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/loader.py                                                       32     26    19%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/loader_tags.py                                                 175    141    19%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/response.py                                                     66     46    30%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/smartif.py                                                     107     64    40%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/template/utils.py                                                        54      8    85%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/templatetags/__init__.py                                                  0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/templatetags/cache.py                                                    52     44    15%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/templatetags/i18n.py                                                    271    226    17%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/templatetags/l10n.py                                                     30     20    33%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/templatetags/static.py                                                   74     52    30%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/templatetags/tz.py                                                       79     57    28%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/test/__init__.py                                                          4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/test/client.py                                                          358    277    23%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/test/html.py                                                            159    125    21%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/test/runner.py                                                          360    184    49%
